3.29. netqlty 0.47, netp 0.3846, randp 0.4835, sxs 0
3.30. netqlty 0.42, netp 0.3913, randp 0.4891, sxs 1
3.31. netqlty 0.40, netp 0.3978, randp 0.4839, sxs 1
sxss 8, ones 23, zeros 8
4.1. netqlty 0.44, netp 0.3936, randp 0.4787, sxs 0
4.2. netqlty 0.46, netp 0.4000, randp 0.4842, sxs 1
4.3. netqlty 0.39, netp 0.4062, randp 0.4896, sxs 1
4.4. netqlty 0.41, netp 0.4124, randp 0.4845, sxs 1
4.5. netqlty 0.37, netp 0.4184, randp 0.4796, sxs 1
4.6. netqlty 0.43, netp 0.4242, randp 0.4747, sxs 1
4.7. netqlty 0.43, netp 0.4200, randp 0.4700, sxs 0
4.8. netqlty 0.46, netp 0.4257, randp 0.4653, sxs 1
4.9. netqlty 0.43, netp 0.4216, randp 0.4706, sxs 0
4.10. netqlty 0.44, netp 0.4272, randp 0.4757, sxs 1
4.11. netqlty 0.44, netp 0.4327, randp 0.4808, sxs 1
4.12. netqlty 0.39, netp 0.4381, randp 0.4857, sxs 1
4.13. netqlty 0.43, netp 0.4434, randp 0.4906, sxs 1
4.14. netqlty 0.43, netp 0.4393, randp 0.4860, sxs 0
4.15. netqlty 0.46, netp 0.4444, randp 0.4815, sxs 1
4.16. netqlty 0.43, netp 0.4495, randp 0.4862, sxs 1
4.17. netqlty 0.43, netp 0.4455, randp 0.4818, sxs 0
4.18. netqlty 0.39, netp 0.4505, randp 0.4775, sxs 1
4.19. netqlty 0.37, netp 0.4554, randp 0.4821, sxs 1
4.20. netqlty 0.43, netp 0.4602, randp 0.4779, sxs 1
4.21. netqlty 0.39, netp 0.4649, randp 0.4737, sxs 1
4.22. netqlty 0.39, netp 0.4696, randp 0.4696, sxs 1
4.23. netqlty 0.41, netp 0.4655, randp 0.4741, sxs 0
4.24. netqlty 0.37, netp 0.4701, randp 0.4786, sxs 1
4.25. netqlty 0.43, netp 0.4661, randp 0.4746, sxs 0
4.26. netqlty 0.48, netp 0.4706, randp 0.4706, sxs 1
4.27. netqlty 0.37, netp 0.4750, randp 0.4667, sxs 1
4.28. netqlty 0.43, netp 0.4793, randp 0.4628, sxs 1
4.29. netqlty 0.43, netp 0.4836, randp 0.4672, sxs 1
4.30. netqlty 0.39, netp 0.4878, randp 0.4715, sxs 1
4.31. netqlty 0.43, netp 0.4919, randp 0.4677, sxs 1
sxss 24, ones 7, zeros 24
5.1. netqlty 0.40, netp 0.4880, randp 0.4640, sxs 0
5.2. netqlty 0.38, netp 0.4921, randp 0.4683, sxs 1
5.3. netqlty 0.42, netp 0.4961, randp 0.4724, sxs 1
5.4. netqlty 0.40, netp 0.5000, randp 0.4766, sxs 1
5.5. netqlty 0.38, netp 0.5039, randp 0.4729, sxs 1
5.6. netqlty 0.38, netp 0.5077, randp 0.4692, sxs 1
5.7. netqlty 0.43, netp 0.5115, randp 0.4733, sxs 1
5.8. netqlty 0.45, netp 0.5152, randp 0.4773, sxs 1
5.9. netqlty 0.43, netp 0.5188, randp 0.4812, sxs 1
5.10. netqlty 0.34, netp 0.5224, randp 0.4851, sxs 1
5.11. netqlty 0.36, netp 0.5259, randp 0.4815, sxs 1
5.12. netqlty 0.40, netp 0.5221, randp 0.4853, sxs 0
5.13. netqlty 0.42, netp 0.5182, randp 0.4891, sxs 0
5.14. netqlty 0.38, netp 0.5145, randp 0.4855, sxs 0
5.15. netqlty 0.45, netp 0.5180, randp 0.4892, sxs 1
5.16. netqlty 0.40, netp 0.5214, randp 0.4857, sxs 1
