0.0459 0.4720 0.5804
0.0730 0.4531 0.6050
0.0458 0.4653 0.7651
0.0634 0.5447 0.6768
0.1779 0.5009 0.5710
0.1148 0.4484 0.6996
0.0390 0.5122 0.7540
0.1310 0.5392 0.6476
0.1701 0.4864 0.7310
0.0938 0.5278 0.7068
0.1536 0.5158 0.6445
0.1363 0.4849 0.5536
0.0916 0.4398 0.5929
0.0266 0.4593 0.5047
0.0547 0.4155 0.6639
-0.0085 0.4945 0.6774
0.1056 0.5012 0.7665
0.1152 0.5454 0.6933
0.1790 0.5091 0.6201
0.1266 0.4728 0.6365
0.0742 0.4809 0.5198
0.0859 0.4230 0.3986
0.0023 0.3629 0.5817
-0.0844 0.4537 0.6353
0.0466 0.4803 0.5812
0.0850 0.4535 0.6782
0.0464 0.5016 0.6758
0.1158 0.5004 0.5770
0.1141 0.4514 0.6740
0.0433 0.4995 0.6262
0.1127 0.4758 0.5966
0.0785 0.4611 0.7185
0.0573 0.5216 0.7189
0.1446 0.5218 0.6542
0.1448 0.4897 0.7419
0.0985 0.5332 0.6780
0.1613 0.5015 0.6717
0.1156 0.4984 0.5071
0.1112 0.4167 0.5496
-0.0067 0.4378 0.3706
0.0237 0.3490 0.5311
-0.1045 0.4286 0.5597
0.0104 0.4428 0.5839
0.0309 0.4548 0.4885
0.0482 0.4075 0.5986
-0.0200 0.4621 0.3960
0.0587 0.3616 0.3317
-0.0862 0.3297 0.4595
-0.1323 0.3931 0.5206
-0.0408 0.4234 0.4210
0.0030 0.3740 0.5248
-0.0684 0.4255 0.5018
0.0060 0.4141 0.5218
-0.0104 0.4240 0.5631
0.0037 0.4445 0.5218
0.0333 0.4240 0.5788
0.0037 0.4523 0.5540
0.0447 0.4400 0.5776
0.0268 0.4517 0.4587
0.0437 0.3927 0.5986
-0.0414 0.4621 0.6659
0.0587 0.4955 0.7356
0.1069 0.5301 0.6613
0.1569 0.4932 0.7798
0.1036 0.5520 0.7641
0.1885 0.5442 0.6800
0.1773 0.5025 0.5794
0.1171 0.4526 0.4152
0.0451 0.3711 0.2460
-0.0726 0.2872 0.2700
-0.1936 0.2991 0.0068
-0.1765 0.1685 0.0425
-0.3649 0.1862 0.2331
-0.3393 0.2808 0.3039
-0.2028 0.3159 0.3424
-0.1522 0.3350 0.6268
-0.1247 0.4761 0.6185
0.0790 0.4720 0.6538
0.0731 0.4895 0.6822
0.0983 0.5036 0.7874
0.1187 0.5558 0.7236
0.1940 0.5241 0.6861
0.1483 0.5055 0.4946
0.1213 0.4105 0.5061
-0.0157 0.4162 0.1908
-0.0075 0.2598 0.2769
-0.2332 0.3025 0.4254
-0.1715 0.3762 0.6236
-0.0653 0.4745 0.5321
0.0766 0.4291 0.6790
0.0112 0.5020 0.6457
0.1163 0.4855 0.6139
0.0925 0.4697 0.6349
0.0697 0.4801 0.7594
0.0847 0.5419 0.7298
0.1740 0.5272 0.7463
0.1528 0.5354 0.6568
0.1645 0.4910 0.6234
0.1005 0.4744 0.5012
0.0766 0.4138 0.7058
