53. netqlty 1.00, netp 0.5849, onep 0.5283, zerop 0.4717, randp 0.5472, kuperinp 0.5472, sxs 1
54. netqlty 1.00, netp 0.5926, onep 0.5370, zerop 0.4630, randp 0.5370, kuperinp 0.5370, sxs 1
55. netqlty 1.00, netp 0.6000, onep 0.5273, zerop 0.4727, randp 0.5273, kuperinp 0.5273, sxs 1
56. netqlty 1.00, netp 0.6071, onep 0.5357, zerop 0.4643, randp 0.5179, kuperinp 0.5179, sxs 1
57. netqlty 1.00, netp 0.5965, onep 0.5439, zerop 0.4561, randp 0.5088, kuperinp 0.5263, sxs 0
58. netqlty 1.00, netp 0.6034, onep 0.5517, zerop 0.4483, randp 0.5000, kuperinp 0.5345, sxs 1
59. netqlty 1.00, netp 0.5932, onep 0.5424, zerop 0.4576, randp 0.4915, kuperinp 0.5254, sxs 0
60. netqlty 1.00, netp 0.5833, onep 0.5333, zerop 0.4667, randp 0.4833, kuperinp 0.5333, sxs 0
61. netqlty 1.00, netp 0.5738, onep 0.5246, zerop 0.4754, randp 0.4918, kuperinp 0.5410, sxs 0
62. netqlty 1.00, netp 0.5645, onep 0.5323, zerop 0.4677, randp 0.5000, kuperinp 0.5323, sxs 0
63. netqlty 1.00, netp 0.5714, onep 0.5238, zerop 0.4762, randp 0.5079, kuperinp 0.5238, sxs 1
64. netqlty 0.80, netp 0.5781, onep 0.5312, zerop 0.4688, randp 0.5000, kuperinp 0.5156, sxs 1
65. netqlty 1.00, netp 0.5692, onep 0.5385, zerop 0.4615, randp 0.5077, kuperinp 0.5231, sxs 0
66. netqlty 1.00, netp 0.5606, onep 0.5303, zerop 0.4697, randp 0.5000, kuperinp 0.5152, sxs 0
67. netqlty 0.80, netp 0.5672, onep 0.5373, zerop 0.4627, randp 0.4925, kuperinp 0.5075, sxs 1
68. netqlty 1.00, netp 0.5588, onep 0.5441, zerop 0.4559, randp 0.5000, kuperinp 0.5147, sxs 0
69. netqlty 1.00, netp 0.5507, onep 0.5362, zerop 0.4638, randp 0.5072, kuperinp 0.5072, sxs 0
70. netqlty 1.00, netp 0.5571, onep 0.5429, zerop 0.4571, randp 0.5000, kuperinp 0.5000, sxs 1
71. netqlty 1.00, netp 0.5493, onep 0.5352, zerop 0.4648, randp 0.5070, kuperinp 0.4930, sxs 0
72. netqlty 1.00, netp 0.5556, onep 0.5417, zerop 0.4583, randp 0.5139, kuperinp 0.4861, sxs 1
73. netqlty 1.00, netp 0.5479, onep 0.5479, zerop 0.4521, randp 0.5068, kuperinp 0.4932, sxs 0
74. netqlty 1.00, netp 0.5541, onep 0.5405, zerop 0.4595, randp 0.5135, kuperinp 0.4865, sxs 1
75. netqlty 0.83, netp 0.5600, onep 0.5467, zerop 0.4533, randp 0.5067, kuperinp 0.4800, sxs 1
76. netqlty 1.00, netp 0.5658, onep 0.5526, zerop 0.4474, randp 0.5132, kuperinp 0.4868, sxs 1
77. netqlty 1.00, netp 0.5714, onep 0.5455, zerop 0.4545, randp 0.5065, kuperinp 0.4805, sxs 1
78. netqlty 1.00, netp 0.5641, onep 0.5513, zerop 0.4487, randp 0.5000, kuperinp 0.4744, sxs 0
79. netqlty 1.00, netp 0.5570, onep 0.5570, zerop 0.4430, randp 0.4937, kuperinp 0.4810, sxs 0
80. netqlty 1.00, netp 0.5500, onep 0.5625, zerop 0.4375, randp 0.5000, kuperinp 0.4875, sxs 0
81. netqlty 1.00, netp 0.5556, onep 0.5679, zerop 0.4321, randp 0.5062, kuperinp 0.4938, sxs 1
82. netqlty 1.00, netp 0.5488, onep 0.5610, zerop 0.4390, randp 0.5122, kuperinp 0.4878, sxs 0
83. netqlty 1.00, netp 0.5422, onep 0.5542, zerop 0.4458, randp 0.5181, kuperinp 0.4940, sxs 0
84. netqlty 1.00, netp 0.5476, onep 0.5595, zerop 0.4405, randp 0.5119, kuperinp 0.4881, sxs 1
85. netqlty 1.00, netp 0.5529, onep 0.5647, zerop 0.4353, randp 0.5059, kuperinp 0.4941, sxs 1
86. netqlty 1.00, netp 0.5465, onep 0.5581, zerop 0.4419, randp 0.5116, kuperinp 0.4884, sxs 0
87. netqlty 1.00, netp 0.5517, onep 0.5517, zerop 0.4483, randp 0.5172, kuperinp 0.4943, sxs 1
88. netqlty 1.00, netp 0.5455, onep 0.5455, zerop 0.4545, randp 0.5227, kuperinp 0.5000, sxs 0
89. netqlty 1.00, netp 0.5393, onep 0.5506, zerop 0.4494, randp 0.5169, kuperinp 0.4944, sxs 0
90. netqlty 1.00, netp 0.5333, onep 0.5556, zerop 0.4444, randp 0.5111, kuperinp 0.5000, sxs 0
91. netqlty 1.00, netp 0.5275, onep 0.5495, zerop 0.4505, randp 0.5055, kuperinp 0.4945, sxs 0
92. netqlty 1.00, netp 0.5217, onep 0.5543, zerop 0.4457, randp 0.5000, kuperinp 0.4891, sxs 0
93. netqlty 1.00, netp 0.5269, onep 0.5484, zerop 0.4516, randp 0.4946, kuperinp 0.4839, sxs 1
94. netqlty 1.00, netp 0.5213, onep 0.5426, zerop 0.4574, randp 0.4894, kuperinp 0.4894, sxs 0
95. netqlty 1.00, netp 0.5263, onep 0.5474, zerop 0.4526, randp 0.4947, kuperinp 0.4842, sxs 1
96. netqlty 1.00, netp 0.5312, onep 0.5521, zerop 0.4479, randp 0.4896, kuperinp 0.4896, sxs 1
97. netqlty 1.00, netp 0.5361, onep 0.5464, zerop 0.4536, randp 0.4948, kuperinp 0.4845, sxs 1
98. netqlty 1.00, netp 0.5306, onep 0.5408, zerop 0.4592, randp 0.5000, kuperinp 0.4898, sxs 0
99. netqlty 1.00, netp 0.5354, onep 0.5354, zerop 0.4646, randp 0.4949, kuperinp 0.4949, sxs 1
100. netqlty 1.00, netp 0.5400, onep 0.5300, zerop 0.4700, randp 0.5000, kuperinp 0.5000, sxs 1
101. netqlty 1.00, netp 0.5347, onep 0.5347, zerop 0.4653, randp 0.4950, kuperinp 0.4950, sxs 0
102. netqlty 1.00, netp 0.5392, onep 0.5392, zerop 0.4608, randp 0.4902, kuperinp 0.5000, sxs 1
103. netqlty 1.00, netp 0.5437, onep 0.5340, zerop 0.4660, randp 0.4951, kuperinp 0.4951, sxs 1
104. netqlty 1.00, netp 0.5481, onep 0.5288, zerop 0.4712, randp 0.5000, kuperinp 0.5000, sxs 1
105. netqlty 1.00, netp 0.5524, onep 0.5238, zerop 0.4762, randp 0.4952, kuperinp 0.5048, sxs 1
106. netqlty 1.00, netp 0.5472, onep 0.5283, zerop 0.4717, randp 0.4906, kuperinp 0.5000, sxs 0
107. netqlty 1.00, netp 0.5514, onep 0.5327, zerop 0.4673, randp 0.4953, kuperinp 0.5047, sxs 1
108. netqlty 1.00, netp 0.5556, onep 0.5278, zerop 0.4722, randp 0.4907, kuperinp 0.5000, sxs 1
109. netqlty 1.00, netp 0.5596, onep 0.5229, zerop 0.4771, randp 0.4862, kuperinp 0.5046, sxs 1
110. netqlty 1.00, netp 0.5545, onep 0.5273, zerop 0.4727, randp 0.4818, kuperinp 0.5000, sxs 0
111. netqlty 1.00, netp 0.5586, onep 0.5315, zerop 0.4685, randp 0.4865, kuperinp 0.5045, sxs 1
112. netqlty 1.00, netp 0.5625, onep 0.5268, zerop 0.4732, randp 0.4911, kuperinp 0.5000, sxs 1
113. netqlty 1.00, netp 0.5664, onep 0.5310, zerop 0.4690, randp 0.4867, kuperinp 0.4956, sxs 1
114. netqlty 0.80, netp 0.5614, onep 0.5351, zerop 0.4649, randp 0.4825, kuperinp 0.5000, sxs 0
115. netqlty 1.00, netp 0.5565, onep 0.5391, zerop 0.4609, randp 0.4783, kuperinp 0.5043, sxs 0
116. netqlty 1.00, netp 0.5603, onep 0.5431, zerop 0.4569, randp 0.4828, kuperinp 0.5086, sxs 1
117. netqlty 1.00, netp 0.5556, onep 0.5385, zerop 0.4615, randp 0.4872, kuperinp 0.5043, sxs 0
118. netqlty 1.00, netp 0.5593, onep 0.5424, zerop 0.4576, randp 0.4831, kuperinp 0.5000, sxs 1
119. netqlty 1.00, netp 0.5630, onep 0.5462, zerop 0.4538, randp 0.4874, kuperinp 0.5042, sxs 1
120. netqlty 1.00, netp 0.5583, onep 0.5500, zerop 0.4500, randp 0.4833, kuperinp 0.5083, sxs 0
121. netqlty 1.00, netp 0.5620, onep 0.5537, zerop 0.4463, randp 0.4793, kuperinp 0.5124, sxs 1
122. netqlty 1.00, netp 0.5656, onep 0.5574, zerop 0.4426, randp 0.4836, kuperinp 0.5164, sxs 1
123. netqlty 1.00, netp 0.5691, onep 0.5610, zerop 0.4390, randp 0.4797, kuperinp 0.5203, sxs 1
124. netqlty 1.00, netp 0.5645, onep 0.5565, zerop 0.4435, randp 0.4839, kuperinp 0.5161, sxs 0
125. netqlty 1.00, netp 0.5680, onep 0.5600, zerop 0.4400, randp 0.4880, kuperinp 0.5120, sxs 1
126. netqlty 1.00, netp 0.5635, onep 0.5556, zerop 0.4444, randp 0.4921, kuperinp 0.5079, sxs 0
127. netqlty 1.00, netp 0.5669, onep 0.5591, zerop 0.4409, randp 0.4882, kuperinp 0.5039, sxs 1
128. netqlty 1.00, netp 0.5625, onep 0.5625, zerop 0.4375, randp 0.4922, kuperinp 0.5078, sxs 0
129. netqlty 1.00, netp 0.5659, onep 0.5581, zerop 0.4419, randp 0.4961, kuperinp 0.5039, sxs 1
130. netqlty 1.00, netp 0.5692, onep 0.5615, zerop 0.4385, randp 0.4923, kuperinp 0.5000, sxs 1
131. netqlty 1.00, netp 0.5649, onep 0.5649, zerop 0.4351, randp 0.4962, kuperinp 0.5038, sxs 0
132. netqlty 1.00, netp 0.5682, onep 0.5606, zerop 0.4394, randp 0.4924, kuperinp 0.5000, sxs 1
133. netqlty 1.00, netp 0.5714, onep 0.5639, zerop 0.4361, randp 0.4887, kuperinp 0.4962, sxs 1
134. netqlty 1.00, netp 0.5746, onep 0.5597, zerop 0.4403, randp 0.4925, kuperinp 0.4925, sxs 1
135. netqlty 1.00, netp 0.5778, onep 0.5630, zerop 0.4370, randp 0.4963, kuperinp 0.4889, sxs 1
136. netqlty 1.00, netp 0.5809, onep 0.5588, zerop 0.4412, randp 0.5000, kuperinp 0.4853, sxs 1
137. netqlty 1.00, netp 0.5766, onep 0.5547, zerop 0.4453, randp 0.4964, kuperinp 0.4891, sxs 0
138. netqlty 1.00, netp 0.5725, onep 0.5580, zerop 0.4420, randp 0.4928, kuperinp 0.4855, sxs 0
139. netqlty 1.00, netp 0.5683, onep 0.5612, zerop 0.4388, randp 0.4892, kuperinp 0.4892, sxs 0
140. netqlty 1.00, netp 0.5643, onep 0.5571, zerop 0.4429, randp 0.4857, kuperinp 0.4857, sxs 0
141. netqlty 1.00, netp 0.5603, onep 0.5532, zerop 0.4468, randp 0.4894, kuperinp 0.4894, sxs 0
142. netqlty 1.00, netp 0.5634, onep 0.5493, zerop 0.4507, randp 0.4859, kuperinp 0.4930, sxs 1
143. netqlty 1.00, netp 0.5664, onep 0.5524, zerop 0.4476, randp 0.4895, kuperinp 0.4895, sxs 1
144. netqlty 1.00, netp 0.5625, onep 0.5486, zerop 0.4514, randp 0.4861, kuperinp 0.4861, sxs 0
145. netqlty 1.00, netp 0.5655, onep 0.5448, zerop 0.4552, randp 0.4897, kuperinp 0.4897, sxs 1
146. netqlty 1.00, netp 0.5616, onep 0.5411, zerop 0.4589, randp 0.4863, kuperinp 0.4932, sxs 0
147. netqlty 1.00, netp 0.5646, onep 0.5442, zerop 0.4558, randp 0.4830, kuperinp 0.4898, sxs 1
148. netqlty 1.00, netp 0.5608, onep 0.5473, zerop 0.4527, randp 0.4797, kuperinp 0.4932, sxs 0
149. netqlty 1.00, netp 0.5570, onep 0.5436, zerop 0.4564, randp 0.4832, kuperinp 0.4899, sxs 0
150. netqlty 1.00, netp 0.5533, onep 0.5467, zerop 0.4533, randp 0.4867, kuperinp 0.4867, sxs 0
151. netqlty 1.00, netp 0.5563, onep 0.5497, zerop 0.4503, randp 0.4901, kuperinp 0.4901, sxs 1
152. netqlty 1.00, netp 0.5526, onep 0.5461, zerop 0.4539, randp 0.4868, kuperinp 0.4868, sxs 0
153. netqlty 1.00, netp 0.5556, onep 0.5425, zerop 0.4575, randp 0.4902, kuperinp 0.4902, sxs 1
154. netqlty 1.00, netp 0.5519, onep 0.5455, zerop 0.4545, randp 0.4935, kuperinp 0.4870, sxs 0
155. netqlty 1.00, netp 0.5484, onep 0.5484, zerop 0.4516, randp 0.4968, kuperinp 0.4903, sxs 0
156. netqlty 1.00, netp 0.5513, onep 0.5449, zerop 0.4551, randp 0.5000, kuperinp 0.4872, sxs 1
157. netqlty 1.00, netp 0.5478, onep 0.5414, zerop 0.4586, randp 0.4968, kuperinp 0.4904, sxs 0
158. netqlty 1.00, netp 0.5506, onep 0.5380, zerop 0.4620, randp 0.4937, kuperinp 0.4937, sxs 1
159. netqlty 1.00, netp 0.5472, onep 0.5409, zerop 0.4591, randp 0.4969, kuperinp 0.4906, sxs 0
