4.13. act -1, pred 1, sxs 0, qlty 6
4.14. act -1, pred -1, sxs 1, qlty 8
4.15. act -1, pred -1, sxs 1, qlty 8
4.16. act -1, pred -1, sxs 1, qlty 6
4.17. act -1, pred 1, sxs 0, qlty 8
4.18. act -1, pred -1, sxs 1, qlty 10
4.19. act -1, pred -1, sxs 1, qlty 4
4.20. act -1, pred -1, sxs 1, qlty 8
4.21. act -1, pred -1, sxs 1, qlty 6
4.22. act -1, pred 1, sxs 0, qlty 8
4.23. act -1, pred -1, sxs 1, qlty 6
4.24. act -1, pred -1, sxs 1, qlty 6
4.25. act -1, pred -1, sxs 1, qlty 8
4.26. act -1, pred -1, sxs 1, qlty 8
4.27. act -1, pred 1, sxs 0, qlty 4
4.28. act -1, pred -1, sxs 1, qlty 6
4.29. act -1, pred -1, sxs 1, qlty 6
4.30. act -1, pred 1, sxs 0, qlty 8
4.31. act -1, pred -1, sxs 1, qlty 6
5.1. act -1, pred -1, sxs 1, qlty 6
5.2. act -1, pred -1, sxs 1, qlty 8
5.3. act -1, pred -1, sxs 1, qlty 6
5.4. act -1, pred -1, sxs 1, qlty 8
5.5. act -1, pred -1, sxs 1, qlty 8
5.6. act -1, pred -1, sxs 1, qlty 6
5.7. act -1, pred -1, sxs 1, qlty 4
5.8. act -1, pred 1, sxs 0, qlty 10
5.9. act -1, pred -1, sxs 1, qlty 8
5.10. act -1, pred -1, sxs 1, qlty 6
5.11. act -1, pred 1, sxs 0, qlty 6
5.12. act -1, pred -1, sxs 1, qlty 4
5.13. act -1, pred 1, sxs 0, qlty 6
5.14. act -1, pred -1, sxs 1, qlty 8
5.15. act -1, pred 1, sxs 0, qlty 6
5.16. act -1, pred -1, sxs 1, qlty 10
5.17. act -1, pred 1, sxs 0, qlty 6
5.18. act -1, pred -1, sxs 1, qlty 8
5.19. act -1, pred 1, sxs 0, qlty 6
5.20. act -1, pred -1, sxs 1, qlty 8
5.21. act -1, pred -1, sxs 1, qlty 8
5.22. act -1, pred -1, sxs 1, qlty 4
5.23. act -1, pred 1, sxs 0, qlty 8
5.24. act -1, pred -1, sxs 1, qlty 6
5.25. act -1, pred 1, sxs 0, qlty 8
5.26. act -1, pred 1, sxs 0, qlty 6
5.27. act -1, pred -1, sxs 1, qlty 6
5.28. act -1, pred -1, sxs 1, qlty 8
5.29. act -1, pred -1, sxs 1, qlty 6
5.30. act -1, pred -1, sxs 1, qlty 6
5.31. act -1, pred -1, sxs 1, qlty 6
6.1. act 1, pred 1, sxs 1, qlty 6
6.2. act 1, pred -1, sxs 0, qlty 6
6.3. act 1, pred -1, sxs 0, qlty 6
6.4. act 1, pred -1, sxs 0, qlty 8
6.5. act 1, pred -1, sxs 0, qlty 6
6.6. act 1, pred 1, sxs 1, qlty 8
6.7. act 1, pred -1, sxs 0, qlty 4
6.8. act 1, pred -1, sxs 0, qlty 6
6.9. act 1, pred 1, sxs 1, qlty 8
6.10. act 1, pred -1, sxs 0, qlty 6
6.11. act 1, pred 1, sxs 1, qlty 10
6.12. act 1, pred 1, sxs 1, qlty 8
6.13. act 1, pred -1, sxs 0, qlty 6
6.14. act 1, pred 1, sxs 1, qlty 8
6.15. act 1, pred 1, sxs 1, qlty 6
6.16. act 1, pred -1, sxs 0, qlty 6
6.17. act 1, pred 1, sxs 1, qlty 6
6.18. act 1, pred -1, sxs 0, qlty 6
6.19. act 1, pred -1, sxs 0, qlty 6
6.20. act 1, pred 1, sxs 1, qlty 6
6.21. act 1, pred 1, sxs 1, qlty 6
6.22. act 1, pred 1, sxs 1, qlty 6
6.23. act 1, pred 1, sxs 1, qlty 6
6.24. act 1, pred 1, sxs 1, qlty 8
6.25. act 1, pred 1, sxs 1, qlty 6
6.26. act 1, pred -1, sxs 0, qlty 8
6.27. act 1, pred 1, sxs 1, qlty 8
6.28. act 1, pred 1, sxs 1, qlty 10
6.29. act 1, pred 1, sxs 1, qlty 6
6.30. act 1, pred -1, sxs 0, qlty 6
6.31. act 1, pred -1, sxs 0, qlty 4
7.1. act -1, pred -1, sxs 1, qlty 6
7.2. act -1, pred 1, sxs 0, qlty 6
7.3. act -1, pred -1, sxs 1, qlty 8
7.4. act -1, pred 1, sxs 0, qlty 6
7.5. act -1, pred -1, sxs 1, qlty 6
7.6. act -1, pred -1, sxs 1, qlty 8
7.7. act -1, pred -1, sxs 1, qlty 6
7.8. act -1, pred 1, sxs 0, qlty 10
7.9. act -1, pred -1, sxs 1, qlty 6
7.10. act -1, pred -1, sxs 1, qlty 8
7.11. act -1, pred -1, sxs 1, qlty 6
7.12. act -1, pred -1, sxs 1, qlty 8
7.13. act -1, pred -1, sxs 1, qlty 4
7.14. act -1, pred 1, sxs 0, qlty 8
7.15. act -1, pred 1, sxs 0, qlty 6
7.16. act -1, pred -1, sxs 1, qlty 4
7.17. act -1, pred -1, sxs 1, qlty 6
7.18. act -1, pred -1, sxs 1, qlty 6
7.19. act -1, pred 1, sxs 0, qlty 6
7.20. act -1, pred 1, sxs 0, qlty 8
7.21. act -1, pred 1, sxs 0, qlty 4
7.22. act -1, pred 1, sxs 0, qlty 6
7.23. act -1, pred -1, sxs 1, qlty 8
7.24. act -1, pred -1, sxs 1, qlty 8
7.25. act -1, pred 1, sxs 0, qlty 8
7.26. act -1, pred 1, sxs 0, qlty 10
7.27. act -1, pred -1, sxs 1, qlty 6
7.28. act -1, pred -1, sxs 1, qlty 2
7.29. act -1, pred 1, sxs 0, qlty 4
7.30. act -1, pred 1, sxs 0, qlty 8
7.31. act -1, pred -1, sxs 1, qlty 6
8.1. act -1, pred -1, sxs 1, qlty 8
8.2. act -1, pred -1, sxs 1, qlty 6
8.3. act -1, pred -1, sxs 1, qlty 6
8.4. act -1, pred -1, sxs 1, qlty 6
8.5. act -1, pred -1, sxs 1, qlty 6
8.6. act -1, pred -1, sxs 1, qlty 8
8.7. act -1, pred -1, sxs 1, qlty 6
8.8. act -1, pred -1, sxs 1, qlty 8
8.9. act -1, pred -1, sxs 1, qlty 6
8.10. act -1, pred -1, sxs 1, qlty 6
8.11. act -1, pred -1, sxs 1, qlty 4
8.12. act -1, pred -1, sxs 1, qlty 6
8.13. act -1, pred -1, sxs 1, qlty 4
8.14. act -1, pred -1, sxs 1, qlty 6
8.15. act -1, pred 1, sxs 0, qlty 6
8.16. act -1, pred -1, sxs 1, qlty 4
8.17. act -1, pred -1, sxs 1, qlty 6
8.18. act -1, pred -1, sxs 1, qlty 6
8.19. act -1, pred -1, sxs 1, qlty 6
8.20. act -1, pred -1, sxs 1, qlty 6
8.21. act -1, pred -1, sxs 1, qlty 4
8.22. act -1, pred -1, sxs 1, qlty 6
8.23. act -1, pred -1, sxs 1, qlty 10
8.24. act -1, pred -1, sxs 1, qlty 6
8.25. act -1, pred -1, sxs 1, qlty 6
8.26. act -1, pred -1, sxs 1, qlty 6
8.27. act -1, pred -1, sxs 1, qlty 4
8.28. act -1, pred -1, sxs 1, qlty 8
8.29. act -1, pred -1, sxs 1, qlty 8
8.30. act -1, pred -1, sxs 1, qlty 6
8.31. act -1, pred -1, sxs 1, qlty 6
9.1. act -1, pred 1, sxs 0, qlty 6
9.2. act -1, pred 1, sxs 0, qlty 8
9.3. act -1, pred 1, sxs 0, qlty 8
9.4. act -1, pred 1, sxs 0, qlty 6
9.5. act -1, pred 1, sxs 0, qlty 4
9.6. act -1, pred 1, sxs 0, qlty 6
9.7. act -1, pred 1, sxs 0, qlty 4
9.8. act -1, pred 1, sxs 0, qlty 6
9.9. act -1, pred 1, sxs 0, qlty 6
9.10. act -1, pred 1, sxs 0, qlty 8
9.11. act -1, pred 1, sxs 0, qlty 4
9.12. act -1, pred -1, sxs 1, qlty 4
9.13. act -1, pred 1, sxs 0, qlty 6
9.14. act -1, pred 1, sxs 0, qlty 6
9.15. act -1, pred 1, sxs 0, qlty 6
9.16. act -1, pred 1, sxs 0, qlty 6
9.17. act -1, pred 1, sxs 0, qlty 4
9.18. act -1, pred 1, sxs 0, qlty 8
9.19. act -1, pred 1, sxs 0, qlty 4
9.20. act -1, pred 1, sxs 0, qlty 8
9.21. act -1, pred -1, sxs 1, qlty 8
9.22. act -1, pred 1, sxs 0, qlty 6
9.23. act -1, pred 1, sxs 0, qlty 4
9.24. act -1, pred 1, sxs 0, qlty 6
