4.26. act -1, pred 1, sxs 0, qlty 1.000
4.27. act -1, pred 1, sxs 0, qlty 1.000
4.28. act -1, pred -1, sxs 1, qlty 1.000
4.29. act -1, pred 1, sxs 0, qlty 1.000
4.30. act -1, pred -1, sxs 1, qlty 1.000
4.31. act -1, pred 1, sxs 0, qlty 1.000
5.1. act -1, pred -1, sxs 1, qlty 0.000
5.2. act -1, pred -1, sxs 1, qlty 0.000
5.3. act -1, pred -1, sxs 1, qlty 0.000
5.4. act -1, pred -1, sxs 1, qlty 0.000
5.5. act -1, pred 1, sxs 0, qlty 1.000
5.6. act -1, pred -1, sxs 1, qlty 0.000
5.7. act -1, pred -1, sxs 1, qlty 0.000
5.8. act -1, pred -1, sxs 1, qlty 0.000
5.9. act -1, pred -1, sxs 1, qlty 0.000
5.10. act -1, pred -1, sxs 1, qlty 0.000
5.11. act -1, pred -1, sxs 1, qlty 0.000
5.12. act -1, pred -1, sxs 1, qlty 0.000
5.13. act -1, pred 1, sxs 0, qlty 1.000
5.14. act -1, pred -1, sxs 1, qlty 0.000
5.15. act -1, pred -1, sxs 1, qlty 0.000
5.16. act -1, pred -1, sxs 1, qlty 0.000
5.17. act -1, pred 1, sxs 0, qlty 1.000
5.18. act -1, pred 1, sxs 0, qlty 1.000
5.19. act -1, pred -1, sxs 1, qlty 0.000
5.20. act -1, pred 1, sxs 0, qlty 1.000
5.21. act -1, pred -1, sxs 1, qlty 1.000
5.22. act -1, pred 1, sxs 0, qlty 1.000
5.23. act -1, pred -1, sxs 1, qlty 0.000
5.24. act -1, pred -1, sxs 1, qlty 1.000
5.25. act -1, pred 1, sxs 0, qlty 1.000
5.26. act -1, pred -1, sxs 1, qlty 0.000
5.27. act -1, pred 1, sxs 0, qlty 1.000
5.28. act -1, pred -1, sxs 1, qlty 0.000
5.29. act -1, pred -1, sxs 1, qlty 0.000
5.30. act -1, pred 1, sxs 0, qlty 1.000
5.31. act -1, pred 1, sxs 0, qlty 1.000
6.1. act -1, pred -1, sxs 1, qlty 1.000
6.2. act -1, pred -1, sxs 1, qlty 0.000
6.3. act -1, pred -1, sxs 1, qlty 0.000
6.4. act -1, pred -1, sxs 1, qlty 1.000
6.5. act -1, pred -1, sxs 1, qlty 1.000
6.6. act -1, pred -1, sxs 1, qlty 1.000
6.7. act -1, pred -1, sxs 1, qlty 1.000
6.8. act -1, pred -1, sxs 1, qlty 1.000
6.9. act -1, pred -1, sxs 1, qlty 0.000
6.10. act -1, pred -1, sxs 1, qlty 0.000
6.11. act -1, pred 1, sxs 0, qlty 1.000
6.12. act -1, pred -1, sxs 1, qlty 1.000
6.13. act -1, pred -1, sxs 1, qlty 0.000
6.14. act -1, pred 1, sxs 0, qlty 1.000
6.15. act -1, pred -1, sxs 1, qlty 0.000
6.16. act -1, pred -1, sxs 1, qlty 0.000
6.17. act -1, pred -1, sxs 1, qlty 0.000
6.18. act -1, pred -1, sxs 1, qlty 0.000
6.19. act -1, pred -1, sxs 1, qlty 1.000
6.20. act -1, pred -1, sxs 1, qlty 1.000
6.21. act -1, pred -1, sxs 1, qlty 0.000
6.22. act -1, pred -1, sxs 1, qlty 1.000
6.23. act -1, pred -1, sxs 1, qlty 1.000
6.24. act -1, pred -1, sxs 1, qlty 0.000
6.25. act -1, pred -1, sxs 1, qlty 1.000
6.26. act -1, pred -1, sxs 1, qlty 0.000
6.27. act -1, pred 1, sxs 0, qlty 1.000
6.28. act -1, pred -1, sxs 1, qlty 0.000
6.29. act -1, pred 1, sxs 0, qlty 1.000
6.30. act -1, pred -1, sxs 1, qlty 1.000
6.31. act -1, pred -1, sxs 1, qlty 0.000
7.1. act -1, pred -1, sxs 1, qlty 0.000
7.2. act -1, pred -1, sxs 1, qlty 0.000
7.3. act -1, pred -1, sxs 1, qlty 0.000
7.4. act -1, pred -1, sxs 1, qlty 1.000
7.5. act -1, pred -1, sxs 1, qlty 0.000
7.6. act -1, pred -1, sxs 1, qlty 0.000
7.7. act -1, pred -1, sxs 1, qlty 1.000
7.8. act -1, pred -1, sxs 1, qlty 0.000
7.9. act -1, pred -1, sxs 1, qlty 0.000
7.10. act -1, pred 1, sxs 0, qlty 1.000
7.11. act -1, pred -1, sxs 1, qlty 0.000
7.12. act -1, pred -1, sxs 1, qlty 0.000
7.13. act -1, pred -1, sxs 1, qlty 0.000
7.14. act -1, pred -1, sxs 1, qlty 0.000
7.15. act -1, pred -1, sxs 1, qlty 0.000
7.16. act -1, pred -1, sxs 1, qlty 0.000
7.17. act -1, pred -1, sxs 1, qlty 0.000
7.18. act -1, pred -1, sxs 1, qlty 0.000
7.19. act -1, pred -1, sxs 1, qlty 1.000
7.20. act -1, pred -1, sxs 1, qlty 0.000
7.21. act -1, pred -1, sxs 1, qlty 1.000
7.22. act -1, pred -1, sxs 1, qlty 0.000
7.23. act -1, pred -1, sxs 1, qlty 0.000
7.24. act -1, pred -1, sxs 1, qlty 0.000
7.25. act -1, pred -1, sxs 1, qlty 1.000
7.26. act -1, pred -1, sxs 1, qlty 0.000
7.27. act -1, pred -1, sxs 1, qlty 1.000
7.28. act -1, pred 1, sxs 0, qlty 1.000
7.29. act -1, pred -1, sxs 1, qlty 0.000
7.30. act -1, pred -1, sxs 1, qlty 0.000
7.31. act -1, pred -1, sxs 1, qlty 0.000
8.1. act -1, pred -1, sxs 1, qlty 0.000
8.2. act -1, pred -1, sxs 1, qlty 0.000
8.3. act -1, pred -1, sxs 1, qlty 0.000
8.4. act -1, pred -1, sxs 1, qlty 1.000
8.5. act -1, pred -1, sxs 1, qlty 1.000
8.6. act -1, pred -1, sxs 1, qlty 1.000
8.7. act -1, pred -1, sxs 1, qlty 0.000
8.8. act -1, pred -1, sxs 1, qlty 1.000
8.9. act -1, pred -1, sxs 1, qlty 0.000
8.10. act -1, pred -1, sxs 1, qlty 0.000
8.11. act -1, pred -1, sxs 1, qlty 1.000
8.12. act -1, pred -1, sxs 1, qlty 0.000
8.13. act -1, pred -1, sxs 1, qlty 1.000
8.14. act -1, pred -1, sxs 1, qlty 1.000
8.15. act -1, pred -1, sxs 1, qlty 1.000
8.16. act -1, pred -1, sxs 1, qlty 1.000
8.17. act -1, pred -1, sxs 1, qlty 1.000
8.18. act -1, pred -1, sxs 1, qlty 0.000
8.19. act -1, pred -1, sxs 1, qlty 0.000
8.20. act -1, pred -1, sxs 1, qlty 1.000
8.21. act -1, pred -1, sxs 1, qlty 0.000
8.22. act -1, pred -1, sxs 1, qlty 1.000
8.23. act -1, pred -1, sxs 1, qlty 1.000
8.24. act -1, pred -1, sxs 1, qlty 0.000
8.25. act -1, pred -1, sxs 1, qlty 0.000
8.26. act -1, pred -1, sxs 1, qlty 1.000
8.27. act -1, pred -1, sxs 1, qlty 0.000
8.28. act -1, pred -1, sxs 1, qlty 1.000
8.29. act -1, pred -1, sxs 1, qlty 1.000
8.30. act -1, pred -1, sxs 1, qlty 0.000
8.31. act -1, pred -1, sxs 1, qlty 0.000
9.1. act -1, pred 1, sxs 0, qlty 0.000
9.2. act -1, pred 1, sxs 0, qlty 1.000
9.3. act -1, pred 1, sxs 0, qlty 1.000
9.4. act -1, pred 1, sxs 0, qlty 0.000
9.5. act -1, pred 1, sxs 0, qlty 0.000
9.6. act -1, pred 1, sxs 0, qlty 0.000
