4.20. act 1, pred -1, sxs 0, qlty 62
4.21. act 1, pred -1, sxs 0, qlty 56
4.22. act 1, pred -1, sxs 0, qlty 62
4.23. act 1, pred -1, sxs 0, qlty 58
4.24. act 1, pred -1, sxs 0, qlty 58
4.25. act 1, pred -1, sxs 0, qlty 60
4.26. act 1, pred -1, sxs 0, qlty 60
4.27. act 1, pred -1, sxs 0, qlty 60
4.28. act 1, pred -1, sxs 0, qlty 58
4.29. act 1, pred -1, sxs 0, qlty 58
4.30. act 1, pred -1, sxs 0, qlty 60
4.31. act 1, pred -1, sxs 0, qlty 60
5.1. act -1, pred -1, sxs 1, qlty 62
5.2. act -1, pred -1, sxs 1, qlty 62
5.3. act -1, pred -1, sxs 1, qlty 62
5.4. act -1, pred -1, sxs 1, qlty 58
5.5. act -1, pred 1, sxs 0, qlty 60
5.6. act -1, pred -1, sxs 1, qlty 58
5.7. act -1, pred -1, sxs 1, qlty 56
5.8. act -1, pred 1, sxs 0, qlty 58
5.9. act -1, pred -1, sxs 1, qlty 58
5.10. act -1, pred -1, sxs 1, qlty 56
5.11. act -1, pred -1, sxs 1, qlty 54
5.12. act -1, pred -1, sxs 1, qlty 62
5.13. act -1, pred -1, sxs 1, qlty 56
5.14. act -1, pred -1, sxs 1, qlty 58
5.15. act -1, pred -1, sxs 1, qlty 60
5.16. act -1, pred -1, sxs 1, qlty 62
5.17. act -1, pred -1, sxs 1, qlty 56
5.18. act -1, pred -1, sxs 1, qlty 62
5.19. act -1, pred -1, sxs 1, qlty 60
5.20. act -1, pred -1, sxs 1, qlty 62
5.21. act -1, pred -1, sxs 1, qlty 62
5.22. act -1, pred -1, sxs 1, qlty 58
5.23. act -1, pred -1, sxs 1, qlty 60
5.24. act -1, pred -1, sxs 1, qlty 60
5.25. act -1, pred -1, sxs 1, qlty 62
5.26. act -1, pred -1, sxs 1, qlty 62
5.27. act -1, pred -1, sxs 1, qlty 62
5.28. act -1, pred 1, sxs 0, qlty 58
5.29. act -1, pred -1, sxs 1, qlty 60
5.30. act -1, pred -1, sxs 1, qlty 58
5.31. act -1, pred -1, sxs 1, qlty 60
6.1. act -1, pred 1, sxs 0, qlty 54
6.2. act -1, pred -1, sxs 1, qlty 60
6.3. act -1, pred 1, sxs 0, qlty 56
6.4. act -1, pred -1, sxs 1, qlty 60
6.5. act -1, pred -1, sxs 1, qlty 58
6.6. act -1, pred -1, sxs 1, qlty 60
6.7. act -1, pred 1, sxs 0, qlty 60
6.8. act -1, pred -1, sxs 1, qlty 62
6.9. act -1, pred -1, sxs 1, qlty 56
6.10. act -1, pred -1, sxs 1, qlty 58
6.11. act -1, pred -1, sxs 1, qlty 56
6.12. act -1, pred -1, sxs 1, qlty 58
6.13. act -1, pred -1, sxs 1, qlty 58
6.14. act -1, pred -1, sxs 1, qlty 60
6.15. act -1, pred -1, sxs 1, qlty 60
6.16. act -1, pred -1, sxs 1, qlty 60
6.17. act -1, pred 1, sxs 0, qlty 58
6.18. act -1, pred -1, sxs 1, qlty 56
6.19. act -1, pred -1, sxs 1, qlty 58
6.20. act -1, pred -1, sxs 1, qlty 56
6.21. act -1, pred -1, sxs 1, qlty 58
6.22. act -1, pred -1, sxs 1, qlty 58
6.23. act -1, pred -1, sxs 1, qlty 60
6.24. act -1, pred -1, sxs 1, qlty 60
6.25. act -1, pred -1, sxs 1, qlty 62
6.26. act -1, pred -1, sxs 1, qlty 62
6.27. act -1, pred -1, sxs 1, qlty 62
6.28. act -1, pred -1, sxs 1, qlty 58
6.29. act -1, pred -1, sxs 1, qlty 62
6.30. act -1, pred -1, sxs 1, qlty 60
6.31. act -1, pred -1, sxs 1, qlty 62
7.1. act -1, pred -1, sxs 1, qlty 60
7.2. act -1, pred -1, sxs 1, qlty 62
7.3. act -1, pred -1, sxs 1, qlty 56
7.4. act -1, pred -1, sxs 1, qlty 60
7.5. act -1, pred -1, sxs 1, qlty 62
7.6. act -1, pred -1, sxs 1, qlty 60
7.7. act -1, pred -1, sxs 1, qlty 60
7.8. act -1, pred -1, sxs 1, qlty 58
7.9. act -1, pred -1, sxs 1, qlty 60
7.10. act -1, pred -1, sxs 1, qlty 62
7.11. act -1, pred -1, sxs 1, qlty 58
7.12. act -1, pred -1, sxs 1, qlty 58
7.13. act -1, pred -1, sxs 1, qlty 62
7.14. act -1, pred -1, sxs 1, qlty 58
7.15. act -1, pred -1, sxs 1, qlty 58
7.16. act -1, pred -1, sxs 1, qlty 58
7.17. act -1, pred -1, sxs 1, qlty 60
7.18. act -1, pred -1, sxs 1, qlty 62
7.19. act -1, pred -1, sxs 1, qlty 56
7.20. act -1, pred -1, sxs 1, qlty 62
7.21. act -1, pred -1, sxs 1, qlty 58
7.22. act -1, pred -1, sxs 1, qlty 58
7.23. act -1, pred -1, sxs 1, qlty 58
7.24. act -1, pred -1, sxs 1, qlty 60
7.25. act -1, pred -1, sxs 1, qlty 54
7.26. act -1, pred -1, sxs 1, qlty 62
7.27. act -1, pred -1, sxs 1, qlty 60
7.28. act -1, pred -1, sxs 1, qlty 60
7.29. act -1, pred -1, sxs 1, qlty 62
7.30. act -1, pred -1, sxs 1, qlty 58
7.31. act -1, pred -1, sxs 1, qlty 58
8.1. act -1, pred -1, sxs 1, qlty 62
8.2. act -1, pred -1, sxs 1, qlty 60
8.3. act -1, pred -1, sxs 1, qlty 58
8.4. act -1, pred -1, sxs 1, qlty 56
8.5. act -1, pred 1, sxs 0, qlty 52
8.6. act -1, pred -1, sxs 1, qlty 60
8.7. act -1, pred -1, sxs 1, qlty 62
8.8. act -1, pred -1, sxs 1, qlty 58
8.9. act -1, pred -1, sxs 1, qlty 58
8.10. act -1, pred -1, sxs 1, qlty 62
8.11. act -1, pred -1, sxs 1, qlty 62
8.12. act -1, pred -1, sxs 1, qlty 60
8.13. act -1, pred -1, sxs 1, qlty 62
8.14. act -1, pred -1, sxs 1, qlty 58
8.15. act -1, pred -1, sxs 1, qlty 56
8.16. act -1, pred -1, sxs 1, qlty 62
8.17. act -1, pred -1, sxs 1, qlty 62
8.18. act -1, pred -1, sxs 1, qlty 58
8.19. act -1, pred -1, sxs 1, qlty 62
8.20. act -1, pred -1, sxs 1, qlty 62
8.21. act -1, pred -1, sxs 1, qlty 62
8.22. act -1, pred -1, sxs 1, qlty 54
8.23. act -1, pred -1, sxs 1, qlty 60
8.24. act -1, pred -1, sxs 1, qlty 58
8.25. act -1, pred -1, sxs 1, qlty 60
8.26. act -1, pred -1, sxs 1, qlty 60
8.27. act -1, pred -1, sxs 1, qlty 60
8.28. act -1, pred -1, sxs 1, qlty 58
8.29. act -1, pred -1, sxs 1, qlty 62
8.30. act -1, pred -1, sxs 1, qlty 58
8.31. act -1, pred -1, sxs 1, qlty 60
9.1. act -1, pred -1, sxs 1, qlty 58
9.2. act -1, pred -1, sxs 1, qlty 56
9.3. act -1, pred -1, sxs 1, qlty 60
9.4. act -1, pred -1, sxs 1, qlty 54
9.5. act -1, pred -1, sxs 1, qlty 62
9.6. act -1, pred 1, sxs 0, qlty 56
9.7. act -1, pred -1, sxs 1, qlty 62
9.8. act -1, pred -1, sxs 1, qlty 62
9.9. act -1, pred -1, sxs 1, qlty 58
9.10. act -1, pred -1, sxs 1, qlty 62
9.11. act -1, pred -1, sxs 1, qlty 56
9.12. act -1, pred -1, sxs 1, qlty 58
9.13. act -1, pred -1, sxs 1, qlty 60
9.14. act -1, pred -1, sxs 1, qlty 60
9.15. act -1, pred -1, sxs 1, qlty 56
9.16. act -1, pred -1, sxs 1, qlty 62
9.17. act -1, pred -1, sxs 1, qlty 56
9.18. act -1, pred -1, sxs 1, qlty 62
9.19. act -1, pred -1, sxs 1, qlty 60
9.20. act -1, pred -1, sxs 1, qlty 60
9.21. act -1, pred -1, sxs 1, qlty 58
9.22. act -1, pred -1, sxs 1, qlty 58
9.23. act -1, pred -1, sxs 1, qlty 60
9.24. act -1, pred -1, sxs 1, qlty 60
9.25. act -1, pred -1, sxs 1, qlty 60
9.26. act -1, pred -1, sxs 1, qlty 58
9.27. act -1, pred -1, sxs 1, qlty 60
9.28. act -1, pred -1, sxs 1, qlty 58
9.29. act -1, pred -1, sxs 1, qlty 62
9.30. act -1, pred -1, sxs 1, qlty 58
9.31. act -1, pred -1, sxs 1, qlty 58
10.1. act -1, pred -1, sxs 1, qlty 52
10.2. act -1, pred -1, sxs 1, qlty 58
10.3. act -1, pred -1, sxs 1, qlty 60
10.4. act -1, pred -1, sxs 1, qlty 58
10.5. act -1, pred -1, sxs 1, qlty 60
10.6. act -1, pred -1, sxs 1, qlty 60
10.7. act -1, pred -1, sxs 1, qlty 54
10.8. act -1, pred -1, sxs 1, qlty 62
10.9. act -1, pred -1, sxs 1, qlty 56
10.10. act -1, pred -1, sxs 1, qlty 62
10.11. act -1, pred -1, sxs 1, qlty 60
10.12. act -1, pred -1, sxs 1, qlty 60
10.13. act -1, pred -1, sxs 1, qlty 62
10.14. act -1, pred -1, sxs 1, qlty 58
10.15. act -1, pred -1, sxs 1, qlty 62
10.16. act -1, pred -1, sxs 1, qlty 58
10.17. act -1, pred -1, sxs 1, qlty 62
10.18. act -1, pred -1, sxs 1, qlty 58
10.19. act -1, pred -1, sxs 1, qlty 58
10.20. act -1, pred -1, sxs 1, qlty 56
10.21. act -1, pred -1, sxs 1, qlty 62
10.22. act -1, pred -1, sxs 1, qlty 62
10.23. act -1, pred -1, sxs 1, qlty 58
10.24. act -1, pred -1, sxs 1, qlty 60
10.25. act -1, pred -1, sxs 1, qlty 62
10.26. act -1, pred -1, sxs 1, qlty 56
10.27. act -1, pred -1, sxs 1, qlty 58
10.28. act -1, pred -1, sxs 1, qlty 60
10.29. act -1, pred -1, sxs 1, qlty 60
10.30. act -1, pred -1, sxs 1, qlty 62
10.31. act -1, pred -1, sxs 1, qlty 56
11.1. act 1, pred -1, sxs 0, qlty 58
11.2. act 1, pred -1, sxs 0, qlty 60
11.3. act 1, pred -1, sxs 0, qlty 56
11.4. act 1, pred -1, sxs 0, qlty 60
