2.13. act -1, pred 1, sxs 0, qlty 1.000
2.14. act -1, pred -1, sxs 1, qlty 1.000
2.15. act -1, pred 1, sxs 0, qlty 1.000
2.16. act -1, pred 1, sxs 0, qlty 1.000
2.17. act -1, pred 1, sxs 0, qlty 1.000
2.18. act -1, pred 1, sxs 0, qlty 1.000
2.19. act -1, pred 1, sxs 0, qlty 1.000
2.20. act -1, pred 1, sxs 0, qlty 1.000
2.21. act -1, pred 1, sxs 0, qlty 1.000
2.22. act -1, pred 1, sxs 0, qlty 1.000
2.23. act -1, pred 1, sxs 0, qlty 1.000
2.24. act -1, pred 1, sxs 0, qlty 1.000
2.25. act -1, pred 1, sxs 0, qlty 1.000
2.26. act -1, pred 1, sxs 0, qlty 1.000
2.27. act -1, pred 1, sxs 0, qlty 1.000
2.28. act -1, pred 1, sxs 0, qlty 1.000
2.29. act -1, pred 1, sxs 0, qlty 1.000
2.30. act -1, pred 1, sxs 0, qlty 1.000
2.31. act -1, pred 1, sxs 0, qlty 1.000
3.1. act 1, pred 1, sxs 1, qlty 1.000
3.2. act 1, pred 1, sxs 1, qlty 1.000
3.3. act 1, pred 1, sxs 1, qlty 1.000
3.4. act 1, pred 1, sxs 1, qlty 1.000
3.5. act 1, pred 1, sxs 1, qlty 1.000
3.6. act 1, pred 1, sxs 1, qlty 1.000
3.7. act 1, pred 1, sxs 1, qlty 1.000
3.8. act 1, pred 1, sxs 1, qlty 1.000
3.9. act 1, pred 1, sxs 1, qlty 1.000
3.10. act 1, pred 1, sxs 1, qlty 1.000
3.11. act 1, pred 1, sxs 1, qlty 1.000
3.12. act 1, pred 1, sxs 1, qlty 1.000
3.13. act 1, pred 1, sxs 1, qlty 1.000
3.14. act 1, pred 1, sxs 1, qlty 1.000
3.15. act 1, pred 1, sxs 1, qlty 1.000
3.16. act 1, pred 1, sxs 1, qlty 1.000
3.17. act 1, pred 1, sxs 1, qlty 1.000
3.18. act 1, pred 1, sxs 1, qlty 1.000
3.19. act 1, pred 1, sxs 1, qlty 1.000
3.20. act 1, pred 1, sxs 1, qlty 1.000
3.21. act 1, pred 1, sxs 1, qlty 1.000
3.22. act 1, pred 1, sxs 1, qlty 1.000
3.23. act 1, pred 1, sxs 1, qlty 1.000
3.24. act 1, pred 1, sxs 1, qlty 1.000
3.25. act 1, pred 1, sxs 1, qlty 1.000
3.26. act 1, pred 1, sxs 1, qlty 1.000
3.27. act 1, pred 1, sxs 1, qlty 1.000
3.28. act 1, pred 1, sxs 1, qlty 1.000
3.29. act 1, pred 1, sxs 1, qlty 1.000
3.30. act 1, pred 1, sxs 1, qlty 1.000
3.31. act 1, pred 1, sxs 1, qlty 1.000
4.1. act -1, pred 1, sxs 0, qlty 1.000
4.2. act -1, pred -1, sxs 1, qlty 1.000
4.3. act -1, pred -1, sxs 1, qlty 1.000
4.4. act -1, pred -1, sxs 1, qlty 1.000
4.5. act -1, pred -1, sxs 1, qlty 1.000
4.6. act -1, pred -1, sxs 1, qlty 1.000
4.7. act -1, pred -1, sxs 1, qlty 1.000
4.8. act -1, pred -1, sxs 1, qlty 1.000
4.9. act -1, pred -1, sxs 1, qlty 1.000
4.10. act -1, pred 1, sxs 0, qlty 1.000
4.11. act -1, pred 1, sxs 0, qlty 0.500
4.12. act -1, pred 1, sxs 0, qlty 1.000
4.13. act -1, pred -1, sxs 1, qlty 1.000
4.14. act -1, pred -1, sxs 1, qlty 1.000
4.15. act -1, pred -1, sxs 1, qlty 1.000
4.16. act -1, pred -1, sxs 1, qlty 1.000
4.17. act -1, pred 1, sxs 0, qlty 1.000
4.18. act -1, pred -1, sxs 1, qlty 1.000
4.19. act -1, pred 1, sxs 0, qlty 1.000
4.20. act -1, pred 1, sxs 0, qlty 1.000
4.21. act -1, pred -1, sxs 1, qlty 1.000
4.22. act -1, pred 1, sxs 0, qlty 1.000
4.23. act -1, pred -1, sxs 1, qlty 1.000
4.24. act -1, pred -1, sxs 1, qlty 1.000
4.25. act -1, pred -1, sxs 1, qlty 0.500
4.26. act -1, pred -1, sxs 1, qlty 1.000
4.27. act -1, pred -1, sxs 1, qlty 1.000
4.28. act -1, pred 1, sxs 0, qlty 1.000
4.29. act -1, pred 1, sxs 0, qlty 1.000
4.30. act -1, pred 1, sxs 0, qlty 1.000
4.31. act -1, pred 1, sxs 0, qlty 1.000
5.1. act -1, pred 1, sxs 0, qlty 1.000
5.2. act -1, pred -1, sxs 1, qlty 0.000
5.3. act -1, pred -1, sxs 1, qlty 1.000
5.4. act -1, pred -1, sxs 1, qlty 0.000
5.5. act -1, pred -1, sxs 1, qlty 1.000
5.6. act -1, pred -1, sxs 1, qlty 1.000
5.7. act -1, pred 1, sxs 0, qlty 1.000
5.8. act -1, pred -1, sxs 1, qlty 0.000
5.9. act -1, pred -1, sxs 1, qlty 1.000
5.10. act -1, pred 1, sxs 0, qlty 1.000
5.11. act -1, pred -1, sxs 1, qlty 0.000
5.12. act -1, pred -1, sxs 1, qlty 0.000
5.13. act -1, pred -1, sxs 1, qlty 1.000
5.14. act -1, pred -1, sxs 1, qlty 1.000
5.15. act -1, pred 1, sxs 0, qlty 1.000
5.16. act -1, pred 1, sxs 0, qlty 1.000
5.17. act -1, pred -1, sxs 1, qlty 1.000
5.18. act -1, pred -1, sxs 1, qlty 0.000
5.19. act -1, pred -1, sxs 1, qlty 0.000
5.20. act -1, pred 1, sxs 0, qlty 1.000
5.21. act -1, pred 1, sxs 0, qlty 1.000
5.22. act -1, pred 1, sxs 0, qlty 1.000
5.23. act -1, pred 1, sxs 0, qlty 1.000
5.24. act -1, pred 1, sxs 0, qlty 1.000
5.25. act -1, pred -1, sxs 1, qlty 1.000
5.26. act -1, pred 1, sxs 0, qlty 1.000
5.27. act -1, pred -1, sxs 1, qlty 0.000
5.28. act -1, pred 1, sxs 0, qlty 1.000
5.29. act -1, pred 1, sxs 0, qlty 1.000
5.30. act -1, pred 1, sxs 0, qlty 1.000
5.31. act -1, pred -1, sxs 1, qlty 0.000
6.1. act -1, pred -1, sxs 1, qlty 1.000
6.2. act -1, pred -1, sxs 1, qlty 0.000
6.3. act -1, pred -1, sxs 1, qlty 0.000
6.4. act -1, pred -1, sxs 1, qlty 0.000
6.5. act -1, pred -1, sxs 1, qlty 0.000
6.6. act -1, pred -1, sxs 1, qlty 0.000
6.7. act -1, pred -1, sxs 1, qlty 0.000
6.8. act -1, pred -1, sxs 1, qlty 0.000
6.9. act -1, pred 1, sxs 0, qlty 1.000
6.10. act -1, pred -1, sxs 1, qlty 1.000
6.11. act -1, pred -1, sxs 1, qlty 1.000
6.12. act -1, pred -1, sxs 1, qlty 1.000
6.13. act -1, pred -1, sxs 1, qlty 1.000
6.14. act -1, pred -1, sxs 1, qlty 1.000
6.15. act -1, pred -1, sxs 1, qlty 0.000
6.16. act -1, pred -1, sxs 1, qlty 1.000
6.17. act -1, pred -1, sxs 1, qlty 0.000
6.18. act -1, pred -1, sxs 1, qlty 0.000
6.19. act -1, pred -1, sxs 1, qlty 0.000
6.20. act -1, pred -1, sxs 1, qlty 1.000
6.21. act -1, pred 1, sxs 0, qlty 1.000
6.22. act -1, pred -1, sxs 1, qlty 0.000
6.23. act -1, pred -1, sxs 1, qlty 0.000
6.24. act -1, pred 1, sxs 0, qlty 1.000
6.25. act -1, pred 1, sxs 0, qlty 1.000
6.26. act -1, pred -1, sxs 1, qlty 0.000
6.27. act -1, pred -1, sxs 1, qlty 0.000
6.28. act -1, pred -1, sxs 1, qlty 0.000
6.29. act -1, pred -1, sxs 1, qlty 1.000
6.30. act -1, pred -1, sxs 1, qlty 1.000
6.31. act -1, pred -1, sxs 1, qlty 1.000
7.1. act -1, pred -1, sxs 1, qlty 0.000
7.2. act -1, pred -1, sxs 1, qlty 0.000
7.3. act -1, pred -1, sxs 1, qlty 0.000
7.4. act -1, pred -1, sxs 1, qlty 0.000
7.5. act -1, pred -1, sxs 1, qlty 0.000
7.6. act -1, pred -1, sxs 1, qlty 0.000
7.7. act -1, pred -1, sxs 1, qlty 0.000
7.8. act -1, pred -1, sxs 1, qlty 1.000
7.9. act -1, pred -1, sxs 1, qlty 1.000
7.10. act -1, pred -1, sxs 1, qlty 0.000
7.11. act -1, pred -1, sxs 1, qlty 0.000
7.12. act -1, pred -1, sxs 1, qlty 0.000
7.13. act -1, pred -1, sxs 1, qlty 0.000
7.14. act -1, pred -1, sxs 1, qlty 0.000
7.15. act -1, pred -1, sxs 1, qlty 0.000
7.16. act -1, pred -1, sxs 1, qlty 0.000
7.17. act -1, pred -1, sxs 1, qlty 0.000
7.18. act -1, pred -1, sxs 1, qlty 0.000
7.19. act -1, pred -1, sxs 1, qlty 0.000
7.20. act -1, pred -1, sxs 1, qlty 0.000
7.21. act -1, pred -1, sxs 1, qlty 1.000
7.22. act -1, pred -1, sxs 1, qlty 0.000
7.23. act -1, pred -1, sxs 1, qlty 1.000
7.24. act -1, pred -1, sxs 1, qlty 1.000
7.25. act -1, pred -1, sxs 1, qlty 0.000
7.26. act -1, pred -1, sxs 1, qlty 0.000
7.27. act -1, pred -1, sxs 1, qlty 0.000
7.28. act -1, pred -1, sxs 1, qlty 0.000
