5.5. act 1, pred -1, sxs 0, qlty 64
5.6. act 1, pred -1, sxs 0, qlty 66
5.7. act 1, pred -1, sxs 0, qlty 68
5.8. act 1, pred -1, sxs 0, qlty 66
5.9. act 1, pred -1, sxs 0, qlty 74
5.10. act 1, pred -1, sxs 0, qlty 68
5.11. act 1, pred -1, sxs 0, qlty 70
5.12. act 1, pred -1, sxs 0, qlty 62
5.13. act 1, pred -1, sxs 0, qlty 70
5.14. act 1, pred -1, sxs 0, qlty 66
5.15. act 1, pred 1, sxs 1, qlty 66
5.16. act 1, pred -1, sxs 0, qlty 68
5.17. act 1, pred -1, sxs 0, qlty 68
5.18. act 1, pred -1, sxs 0, qlty 64
5.19. act 1, pred -1, sxs 0, qlty 68
5.20. act 1, pred -1, sxs 0, qlty 66
5.21. act 1, pred -1, sxs 0, qlty 66
5.22. act 1, pred -1, sxs 0, qlty 70
5.23. act 1, pred -1, sxs 0, qlty 70
5.24. act 1, pred -1, sxs 0, qlty 64
5.25. act 1, pred -1, sxs 0, qlty 70
5.26. act 1, pred -1, sxs 0, qlty 62
5.27. act 1, pred -1, sxs 0, qlty 70
5.28. act 1, pred -1, sxs 0, qlty 68
5.29. act 1, pred 1, sxs 1, qlty 66
5.30. act 1, pred 1, sxs 1, qlty 66
5.31. act 1, pred 1, sxs 1, qlty 70
6.1. act 1, pred 1, sxs 1, qlty 64
6.2. act 1, pred 1, sxs 1, qlty 64
6.3. act 1, pred 1, sxs 1, qlty 70
6.4. act 1, pred 1, sxs 1, qlty 70
6.5. act 1, pred 1, sxs 1, qlty 70
6.6. act 1, pred 1, sxs 1, qlty 68
6.7. act 1, pred -1, sxs 0, qlty 66
6.8. act 1, pred 1, sxs 1, qlty 62
6.9. act 1, pred 1, sxs 1, qlty 66
6.10. act 1, pred -1, sxs 0, qlty 72
6.11. act 1, pred -1, sxs 0, qlty 62
6.12. act 1, pred -1, sxs 0, qlty 62
6.13. act 1, pred -1, sxs 0, qlty 64
6.14. act 1, pred -1, sxs 0, qlty 68
6.15. act 1, pred 1, sxs 1, qlty 66
6.16. act 1, pred -1, sxs 0, qlty 68
6.17. act 1, pred 1, sxs 1, qlty 66
6.18. act 1, pred -1, sxs 0, qlty 72
6.19. act 1, pred -1, sxs 0, qlty 72
6.20. act 1, pred -1, sxs 0, qlty 62
6.21. act 1, pred -1, sxs 0, qlty 60
6.22. act 1, pred -1, sxs 0, qlty 68
6.23. act 1, pred 1, sxs 1, qlty 60
6.24. act 1, pred 1, sxs 1, qlty 62
6.25. act 1, pred -1, sxs 0, qlty 66
6.26. act 1, pred 1, sxs 1, qlty 64
6.27. act 1, pred -1, sxs 0, qlty 64
6.28. act 1, pred 1, sxs 1, qlty 66
6.29. act 1, pred -1, sxs 0, qlty 66
6.30. act 1, pred 1, sxs 1, qlty 70
6.31. act 1, pred 1, sxs 1, qlty 72
7.1. act -1, pred -1, sxs 1, qlty 66
7.2. act -1, pred -1, sxs 1, qlty 64
7.3. act -1, pred -1, sxs 1, qlty 64
7.4. act -1, pred -1, sxs 1, qlty 64
7.5. act -1, pred -1, sxs 1, qlty 66
7.6. act -1, pred -1, sxs 1, qlty 70
7.7. act -1, pred -1, sxs 1, qlty 66
7.8. act -1, pred -1, sxs 1, qlty 62
7.9. act -1, pred -1, sxs 1, qlty 68
7.10. act -1, pred -1, sxs 1, qlty 56
7.11. act -1, pred -1, sxs 1, qlty 70
7.12. act -1, pred -1, sxs 1, qlty 62
7.13. act -1, pred -1, sxs 1, qlty 68
7.14. act -1, pred -1, sxs 1, qlty 70
7.15. act -1, pred -1, sxs 1, qlty 68
7.16. act -1, pred -1, sxs 1, qlty 62
