5.5. act 1, pred -1, sxs 0, qlty 20
5.6. act 1, pred -1, sxs 0, qlty 20
5.7. act 1, pred 1, sxs 1, qlty 18
5.8. act 1, pred -1, sxs 0, qlty 18
5.9. act 1, pred -1, sxs 0, qlty 24
5.10. act 1, pred -1, sxs 0, qlty 22
5.11. act 1, pred -1, sxs 0, qlty 20
5.12. act 1, pred 1, sxs 1, qlty 22
5.13. act 1, pred -1, sxs 0, qlty 20
5.14. act 1, pred -1, sxs 0, qlty 20
5.15. act 1, pred -1, sxs 0, qlty 24
5.16. act 1, pred 1, sxs 1, qlty 20
5.17. act 1, pred -1, sxs 0, qlty 18
5.18. act 1, pred -1, sxs 0, qlty 24
5.19. act 1, pred -1, sxs 0, qlty 20
5.20. act 1, pred -1, sxs 0, qlty 20
5.21. act 1, pred -1, sxs 0, qlty 22
5.22. act 1, pred -1, sxs 0, qlty 24
5.23. act 1, pred -1, sxs 0, qlty 20
5.24. act 1, pred 1, sxs 1, qlty 22
5.25. act 1, pred -1, sxs 0, qlty 20
5.26. act 1, pred -1, sxs 0, qlty 20
5.27. act 1, pred -1, sxs 0, qlty 20
5.28. act 1, pred -1, sxs 0, qlty 22
5.29. act 1, pred -1, sxs 0, qlty 24
5.30. act 1, pred -1, sxs 0, qlty 24
5.31. act 1, pred -1, sxs 0, qlty 22
6.1. act -1, pred 1, sxs 0, qlty 16
6.2. act -1, pred -1, sxs 1, qlty 24
6.3. act -1, pred 1, sxs 0, qlty 24
6.4. act -1, pred -1, sxs 1, qlty 24
6.5. act -1, pred 1, sxs 0, qlty 22
6.6. act -1, pred -1, sxs 1, qlty 24
6.7. act -1, pred -1, sxs 1, qlty 20
6.8. act -1, pred -1, sxs 1, qlty 20
6.9. act -1, pred -1, sxs 1, qlty 22
6.10. act -1, pred -1, sxs 1, qlty 20
6.11. act -1, pred -1, sxs 1, qlty 22
6.12. act -1, pred -1, sxs 1, qlty 24
6.13. act -1, pred -1, sxs 1, qlty 22
6.14. act -1, pred -1, sxs 1, qlty 20
6.15. act -1, pred -1, sxs 1, qlty 18
6.16. act -1, pred -1, sxs 1, qlty 28
6.17. act -1, pred -1, sxs 1, qlty 20
6.18. act -1, pred -1, sxs 1, qlty 22
6.19. act -1, pred -1, sxs 1, qlty 18
6.20. act -1, pred 1, sxs 0, qlty 20
6.21. act -1, pred -1, sxs 1, qlty 24
6.22. act -1, pred -1, sxs 1, qlty 18
6.23. act -1, pred -1, sxs 1, qlty 24
6.24. act -1, pred -1, sxs 1, qlty 18
6.25. act -1, pred 1, sxs 0, qlty 20
6.26. act -1, pred -1, sxs 1, qlty 22
6.27. act -1, pred -1, sxs 1, qlty 22
6.28. act -1, pred 1, sxs 0, qlty 20
6.29. act -1, pred -1, sxs 1, qlty 24
6.30. act -1, pred -1, sxs 1, qlty 22
6.31. act -1, pred 1, sxs 0, qlty 24
7.1. act -1, pred -1, sxs 1, qlty 26
7.2. act -1, pred 1, sxs 0, qlty 26
7.3. act -1, pred 1, sxs 0, qlty 20
7.4. act -1, pred 1, sxs 0, qlty 22
7.5. act -1, pred 1, sxs 0, qlty 22
7.6. act -1, pred -1, sxs 1, qlty 24
7.7. act -1, pred 1, sxs 0, qlty 18
7.8. act -1, pred 1, sxs 0, qlty 18
7.9. act -1, pred 1, sxs 0, qlty 16
7.10. act -1, pred -1, sxs 1, qlty 24
7.11. act -1, pred 1, sxs 0, qlty 16
7.12. act -1, pred -1, sxs 1, qlty 22
7.13. act -1, pred 1, sxs 0, qlty 18
7.14. act -1, pred 1, sxs 0, qlty 22
