6.14. act 1, pred -1, sxs 0, qlty 64
6.15. act 1, pred 1, sxs 1, qlty 64
6.16. act 1, pred -1, sxs 0, qlty 66
6.17. act 1, pred -1, sxs 0, qlty 68
6.18. act 1, pred -1, sxs 0, qlty 70
6.19. act 1, pred -1, sxs 0, qlty 66
6.20. act 1, pred -1, sxs 0, qlty 68
6.21. act 1, pred -1, sxs 0, qlty 64
6.22. act 1, pred 1, sxs 1, qlty 64
6.23. act 1, pred -1, sxs 0, qlty 70
6.24. act 1, pred 1, sxs 1, qlty 68
6.25. act 1, pred -1, sxs 0, qlty 68
6.26. act 1, pred -1, sxs 0, qlty 68
6.27. act 1, pred -1, sxs 0, qlty 64
6.28. act 1, pred -1, sxs 0, qlty 66
6.29. act 1, pred -1, sxs 0, qlty 66
6.30. act 1, pred -1, sxs 0, qlty 66
6.31. act 1, pred 1, sxs 1, qlty 68
7.1. act -1, pred 1, sxs 0, qlty 66
7.2. act -1, pred 1, sxs 0, qlty 64
7.3. act -1, pred -1, sxs 1, qlty 64
7.4. act -1, pred -1, sxs 1, qlty 64
7.5. act -1, pred -1, sxs 1, qlty 64
7.6. act -1, pred -1, sxs 1, qlty 66
7.7. act -1, pred -1, sxs 1, qlty 64
7.8. act -1, pred -1, sxs 1, qlty 72
7.9. act -1, pred 1, sxs 0, qlty 70
7.10. act -1, pred 1, sxs 0, qlty 66
7.11. act -1, pred -1, sxs 1, qlty 70
7.12. act -1, pred -1, sxs 1, qlty 66
7.13. act -1, pred -1, sxs 1, qlty 68
7.14. act -1, pred 1, sxs 0, qlty 58
7.15. act -1, pred -1, sxs 1, qlty 64
7.16. act -1, pred -1, sxs 1, qlty 64
7.17. act -1, pred -1, sxs 1, qlty 62
7.18. act -1, pred -1, sxs 1, qlty 72
7.19. act -1, pred -1, sxs 1, qlty 68
7.20. act -1, pred -1, sxs 1, qlty 68
7.21. act -1, pred -1, sxs 1, qlty 64
7.22. act -1, pred 1, sxs 0, qlty 62
7.23. act -1, pred -1, sxs 1, qlty 66
7.24. act -1, pred -1, sxs 1, qlty 70
7.25. act -1, pred 1, sxs 0, qlty 70
7.26. act -1, pred 1, sxs 0, qlty 64
7.27. act -1, pred 1, sxs 0, qlty 58
7.28. act -1, pred -1, sxs 1, qlty 66
7.29. act -1, pred 1, sxs 0, qlty 68
7.30. act -1, pred -1, sxs 1, qlty 62
7.31. act -1, pred -1, sxs 1, qlty 70
8.1. act 1, pred 1, sxs 1, qlty 70
8.2. act 1, pred -1, sxs 0, qlty 70
8.3. act 1, pred -1, sxs 0, qlty 66
8.4. act 1, pred -1, sxs 0, qlty 60
8.5. act 1, pred -1, sxs 0, qlty 68
8.6. act 1, pred -1, sxs 0, qlty 70
8.7. act 1, pred -1, sxs 0, qlty 76
8.8. act 1, pred -1, sxs 0, qlty 64
8.9. act 1, pred 1, sxs 1, qlty 66
8.10. act 1, pred 1, sxs 1, qlty 64
8.11. act 1, pred -1, sxs 0, qlty 70
8.12. act 1, pred 1, sxs 1, qlty 64
8.13. act 1, pred 1, sxs 1, qlty 66
8.14. act 1, pred -1, sxs 0, qlty 66
8.15. act 1, pred -1, sxs 0, qlty 70
8.16. act 1, pred -1, sxs 0, qlty 68
8.17. act 1, pred -1, sxs 0, qlty 70
8.18. act 1, pred -1, sxs 0, qlty 64
8.19. act 1, pred -1, sxs 0, qlty 70
8.20. act 1, pred 1, sxs 1, qlty 64
8.21. act 1, pred 1, sxs 1, qlty 68
8.22. act 1, pred -1, sxs 0, qlty 70
8.23. act 1, pred -1, sxs 0, qlty 68
8.24. act 1, pred 1, sxs 1, qlty 70
8.25. act 1, pred -1, sxs 0, qlty 68
8.26. act 1, pred -1, sxs 0, qlty 70
8.27. act 1, pred -1, sxs 0, qlty 64
8.28. act 1, pred 1, sxs 1, qlty 66
